Customer_ID,Age,Gender,Customer_Type,Product_Category,Purchase_Frequency,Service_Rating,Product_Rating,Delivery_Rating,Customer_Service_Rating,Complaint_Count,Previous_Purchases,Satisfaction
CUST001,25,Male,New,Electronics,Monthly,5,5,4,5,0,12,Satisfied
CUST002,34,Female,Returning,Clothing,Weekly,4,5,4,4,1,20,Satisfied
CUST003,45,Male,Loyal,Home Appliances,Monthly,5,4,5,5,0,28,Satisfied
CUST004,22,Female,New,Beauty,Rarely,2,3,2,3,3,2,Dissatisfied
CUST005,39,Male,Returning,Books,Monthly,4,4,3,4,1,15,Satisfied
CUST006,28,Female,Loyal,Electronics,Weekly,5,5,5,4,0,25,Satisfied
CUST007,51,Male,New,Clothing,Rarely,2,2,3,2,4,3,Dissatisfied
CUST008,31,Female,Returning,Home Appliances,Monthly,4,4,4,5,1,18,Satisfied
CUST009,42,Male,Loyal,Electronics,Weekly,5,4,5,5,0,30,Satisfied
CUST010,19,Female,New,Books,Rarely,2,3,2,2,3,1,Dissatisfied
CUST011,36,Male,Returning,Beauty,Monthly,4,4,4,4,1,16,Satisfied
CUST012,47,Female,Loyal,Clothing,Weekly,5,5,4,5,0,27,Satisfied
CUST013,26,Male,New,Electronics,Monthly,3,3,2,3,2,7,Dissatisfied
CUST014,55,Female,Returning,Home Appliances,Monthly,4,5,4,4,1,22,Satisfied
CUST015,30,Male,Loyal,Books,Weekly,5,4,5,4,0,24,Satisfied
CUST016,23,Female,New,Beauty,Rarely,2,2,3,2,4,2,Dissatisfied
CUST017,41,Male,Returning,Electronics,Monthly,4,4,5,4,1,19,Satisfied
CUST018,33,Female,Loyal,Clothing,Weekly,5,5,5,5,0,31,Satisfied
CUST019,49,Male,New,Books,Rarely,3,2,2,3,3,5,Dissatisfied
CUST020,27,Female,Returning,Home Appliances,Monthly,4,4,3,4,1,14,Satisfied
CUST021,38,Male,Loyal,Electronics,Weekly,5,5,4,5,0,26,Satisfied
CUST022,21,Female,New,Clothing,Rarely,2,3,2,2,4,2,Dissatisfied
CUST023,44,Male,Returning,Beauty,Monthly,4,4,4,5,1,17,Satisfied
CUST024,29,Female,Loyal,Books,Weekly,5,4,5,5,0,23,Satisfied
CUST025,52,Male,New,Home Appliances,Rarely,2,2,3,2,5,4,Dissatisfied
CUST026,35,Female,Returning,Electronics,Monthly,4,5,4,4,1,21,Satisfied
CUST027,24,Male,New,Clothing,Monthly,3,3,3,2,2,8,Dissatisfied
CUST028,46,Female,Loyal,Beauty,Weekly,5,5,5,4,0,29,Satisfied
CUST029,32,Male,Returning,Books,Monthly,4,4,3,4,1,16,Satisfied
CUST030,58,Female,New,Electronics,Rarely,2,2,2,3,4,3,Dissatisfied
CUST031,37,Male,Loyal,Home Appliances,Weekly,5,4,5,5,0,27,Satisfied
CUST032,20,Female,New,Beauty,Rarely,2,3,2,2,3,1,Dissatisfied
CUST033,43,Male,Returning,Clothing,Monthly,4,4,4,4,1,18,Satisfied
CUST034,31,Female,Loyal,Electronics,Weekly,5,5,4,5,0,25,Satisfied
CUST035,50,Male,New,Books,Rarely,2,2,3,2,4,5,Dissatisfied
CUST036,28,Female,Returning,Home Appliances,Monthly,4,5,4,4,1,19,Satisfied
CUST037,40,Male,Loyal,Beauty,Weekly,5,4,5,5,0,30,Satisfied
CUST038,23,Female,New,Clothing,Rarely,3,2,2,3,3,3,Dissatisfied
CUST039,48,Male,Returning,Electronics,Monthly,4,4,4,5,1,20,Satisfied
CUST040,26,Female,Loyal,Books,Weekly,5,5,5,4,0,22,Satisfied
